성별,연령대,학력,초기 실천수,초기 건강위험요인 수,건강행태 실천수(단위:개),건강위험요인 수(단위:개),6개월차 실천 증가자,6개월차 실천 개선자,6개월차 위험요인 감소자,전반적 만족도,습관개선 도움정도,내용 이해도,관심도,타인 권유,총점,백분위 환산,churn
여,50대,대졸,3,2,2,4,True,False,False,4.913136005475734,3.77474763665131,4.579215503868198,4.410500910230693,4.165520017597843,5.0,100.0,0
여,30대,고졸,2,1,2,5,False,True,True,5.0,3.9425175045791834,4.756975565215461,4.025129267405304,5.0,4.98779181786935,99.755836357387,0
여,40대,대학원,1,2,0,2,True,False,False,4.336698159122974,4.53692412642361,2.976362446000291,4.279859459560125,5.0,3.9060691856503413,78.12138371300684,0
여,20대,대졸,3,1,2,2,True,False,False,4.1240092622005085,4.332562673582562,4.001183170333834,5.0,3.148227474287389,3.658992156715252,73.17984313430503,0
남,20대,대학원,2,2,0,2,True,True,False,3.608141908646378,4.21236438757687,5.0,3.89294653593662,5.0,3.3721414347598206,67.44282869519641,0
여,60대,대졸,4,1,2,1,True,True,False,4.456794625687844,3.703960766339991,4.774724478966206,3.762491508678947,4.512624538208602,3.847922242363334,76.95844484726668,0
남,40대,대학원,4,2,1,4,True,False,True,4.943409387767927,4.093114993428399,3.9440336883972438,4.044187203194294,5.0,3.6161593704248682,72.32318740849738,0
여,40대,대졸,2,2,1,4,True,False,True,4.0661850537437845,3.7209667378373448,2.9614657392721173,3.65559071827992,4.823387435377368,3.659685266450089,73.19370532900177,0
여,30대,대졸,1,4,0,5,True,True,True,4.827105586891029,3.680919585267036,4.533460165669097,3.5600801166185745,4.008427594371255,4.4841820783539825,89.68364156707965,0
남,50대,고졸,2,1,1,5,False,True,True,5.0,4.744293987902034,4.330991446260245,4.626790527040201,4.213525934801565,4.273873523446762,85.47747046893525,0
여,50대,대졸,1,3,0,3,True,True,False,4.67243795296493,4.3751290936844205,4.506427097986693,3.9653698317393937,5.0,3.589180104207742,71.78360208415484,0
여,20대,대졸,1,0,1,0,False,False,False,3.697064693735264,5.0,3.781796158256878,3.8601331248483532,4.6710916807707665,4.56046394910133,91.2092789820266,0
여,50대,대학원,2,2,1,3,True,True,True,3.3138347710574987,3.7739681051121687,4.0514035347560435,4.812577613065563,4.840732328985178,3.4108322161522824,68.21664432304566,0
여,30대,고졸,1,4,1,5,False,False,True,4.360770303692398,5.0,3.2443212697099684,4.552854384860105,4.0690181794608895,5.0,100.0,0
남,60대,고졸,2,2,0,4,True,False,True,3.922680112617081,4.886549613488439,4.161840425067352,4.090191803694432,4.020352666817783,4.4799431533864285,89.59886306772857,0
남,40대,대졸,3,1,2,2,False,True,False,5.0,3.7436595053095494,4.594858225491697,3.555544653428301,4.473003338461032,5.0,100.0,0
남,40대,대졸,1,1,0,4,True,False,True,4.340303216145489,4.830348682069092,4.243521094290064,5.0,4.88137322970261,4.021691920371408,80.43383840742815,0
여,20대,대학원,2,2,2,2,False,True,False,4.74252565540766,2.848105104862876,2.1683462591795415,4.6993556251900515,5.0,5.0,100.0,0
여,50대,대졸,3,2,1,3,True,False,True,3.2059908603502634,4.657355429951463,4.714328160793771,4.466295233975093,4.725662853329077,3.8113219702823473,76.22643940564696,0
여,40대,대졸,1,3,0,5,True,True,True,5.0,4.335742368361119,4.352709865394777,2.679022390726926,4.120634367517128,3.101981905064523,62.039638101290464,1
여,40대,고졸,0,3,0,5,False,True,True,3.7692055532061093,4.6580734256810326,3.780543212372961,5.0,3.9198174990782793,3.5390074066760167,70.78014813352034,0
여,50대,대졸,2,1,2,5,False,False,True,5.0,4.0963223357568355,2.6457192634052076,4.878553358935562,5.0,4.351446244571711,87.02892489143422,0
남,30대,대졸,3,0,2,1,True,False,False,4.408430546048573,3.979806442263228,3.1838291637461014,4.465309069253318,3.6026456328394056,4.168608091475223,83.37216182950445,0
여,50대,고졸,1,3,1,5,False,True,True,4.07319573401816,3.199828480571017,4.167498229033052,5.0,4.269698533528641,5.0,100.0,0
남,40대,고졸,2,4,0,5,False,True,True,5.0,3.149959185213571,2.274460712814546,4.226988686696574,4.233848529136806,4.602064676577035,92.04129353154069,0
여,50대,고졸,0,2,0,4,False,True,True,2.9324347054015627,4.094307689121012,4.15829588231397,4.440129618111566,4.609202602480297,3.8019227512917046,76.0384550258341,0
남,50대,대졸,3,3,0,5,True,False,True,4.364322251135463,5.0,3.2924052414731495,4.715502064575765,4.584616231733131,3.1454001276409764,62.90800255281953,1
여,40대,대졸,2,4,0,5,True,True,True,3.371973724254365,3.759172398267885,4.301771053846075,4.286134889513766,4.498820544581547,4.613805719348451,92.27611438696903,0
여,30대,고졸,1,5,0,5,True,True,False,5.0,4.950424782811356,2.475601417900544,5.0,4.674780447755749,4.187913164382342,83.75826328764686,0
남,20대,고졸,0,1,0,3,False,False,False,3.932195344660685,5.0,4.413181570488089,4.505509150028525,3.4396944542966597,4.164776173452185,83.2955234690437,0
남,50대,고졸,1,2,0,5,True,False,True,4.998413799774263,4.642801740023809,3.9198290568731236,3.199467628449759,3.294692510087165,4.611857602435452,92.23715204870905,0
여,40대,대졸,2,1,0,2,True,False,True,3.3292765150860997,5.0,2.810460225965656,3.4077728143949018,5.0,4.431503721473176,88.63007442946352,0
남,50대,대학원,2,5,2,5,False,True,True,4.121430644985455,4.662375930930885,4.222117962453793,4.047097945729637,4.2016808975095845,3.8826812897894585,77.65362579578917,0
여,50대,대졸,2,3,2,4,False,False,False,4.287797813585875,2.648285601988605,3.9018391756498723,4.643325683753756,4.093509553875487,4.227074564814227,84.54149129628455,0
남,40대,고졸,3,2,2,4,False,True,True,4.812631385304211,4.871929759371645,3.6334462629937097,3.0342830603614193,4.128561152799362,3.292040121909423,65.84080243818846,1
여,50대,고졸,2,2,1,5,True,True,True,4.10525593244018,5.0,4.782800267965991,4.522031534671123,4.119716257745913,3.218034643649573,64.36069287299146,1
여,20대,고졸,1,2,1,5,False,True,True,2.7241293423160435,5.0,5.0,4.700312967888306,4.249373009754015,4.1718395357485205,83.43679071497041,0
여,30대,고졸,4,1,4,3,False,False,False,4.734488454689751,4.628593411497239,3.405453625362209,4.399517343890314,5.0,5.0,100.0,0
여,50대,대졸,0,4,0,5,True,True,True,4.553011157997661,3.785981925931011,5.0,4.389678750881801,4.5180831836859285,4.555883959972486,91.11767919944973,0
여,50대,대졸,1,2,1,4,False,True,True,4.364857535177895,5.0,3.9446725150864177,4.656978333757166,3.837609265716887,4.891064994597798,97.82129989195596,0
남,60대,고졸,2,2,1,5,False,False,True,5.0,4.329487181489399,3.6010523139112434,4.632619359404166,4.624567988566953,4.234846303735219,84.69692607470438,0
남,40대,대졸,2,3,2,5,False,False,True,3.5320905430937746,4.509406715728353,2.8235022954221227,3.58850345017745,4.565696650964025,4.040049777866455,80.80099555732909,0
여,50대,대졸,2,4,1,5,True,False,True,4.706545357410223,3.712408179227296,4.994359962334045,4.098187607534441,4.3492046722581295,3.024936211851393,60.498724237027865,1
남,60대,고졸,0,3,0,5,False,False,True,4.089563002414789,4.967471840093517,4.143935548343726,4.738359288934278,4.092188898862089,3.592633116627525,71.8526623325505,0
여,40대,대졸,4,3,2,4,True,True,True,4.435575870839799,3.7933922814776264,4.476592511825038,3.7239930943868567,3.251376194417659,3.84748433118493,76.9496866236986,0
여,30대,대졸,1,1,0,2,True,True,True,3.6166651747388094,4.301446358231856,4.481129570270829,5.0,4.913942161124656,5.0,100.0,0
남,20대,대졸,1,2,0,5,False,False,True,4.831660360626385,4.2679794751236955,5.0,4.728946326896768,5.0,5.0,100.0,0
남,50대,대학원,1,1,0,1,True,False,False,5.0,3.209600017700089,2.777529780009287,3.736612053509109,4.156544906776647,5.0,100.0,0
남,30대,고졸,1,1,0,5,True,True,True,3.449005175806172,3.8497087625858066,2.7297773491354853,3.8082180010097613,4.917624624889057,4.716711614064122,94.33423228128245,0
남,40대,고졸,1,3,0,4,True,True,False,3.915903502922618,3.793817776575802,3.800567199218553,4.07041408070185,4.0296918463870455,4.113732827311345,82.27465654622691,0
여,40대,대졸,2,3,1,4,True,True,True,3.6671803421090323,3.2512097650720557,4.233048971485498,4.256727319459716,4.332204192874643,3.6742751957441904,73.48550391488381,0
남,40대,대졸,3,3,3,4,False,False,False,4.642814273898435,2.8721439002372344,4.361003673438059,4.035054302542176,3.46625727938593,4.549587563246065,90.99175126492129,0
여,50대,대졸,2,2,0,2,True,False,False,4.8511764978240866,3.0312287130889226,4.607539961678433,4.038292756281221,4.538639714822313,5.0,100.0,0
남,40대,대학원,3,1,1,2,True,True,True,4.1323275464475335,4.0465412140627395,4.020191804381517,4.937229322922521,4.4394210300987575,2.974677257729366,59.49354515458732,1
남,50대,고졸,2,3,0,5,True,False,True,5.0,5.0,5.0,4.481353554566413,4.00599961485837,4.333536279487898,86.67072558975796,0
남,50대,대졸,2,3,0,4,True,False,True,4.03785917005541,3.4809266997147246,3.5506012992386218,3.3886018769006547,4.449273949655437,3.474719297916006,69.49438595832011,0
여,30대,대졸,2,3,2,4,False,False,True,4.219350260183525,4.738165490522927,5.0,4.207673587465208,4.922173037930234,4.828597877647398,96.57195755294795,0
남,40대,대졸,2,2,0,3,True,False,True,3.9777910107921852,4.333063870497514,3.2683030330512035,3.9350679233180585,4.787548332591483,4.801659588204352,96.03319176408704,0
여,40대,대졸,4,3,4,5,False,False,True,4.745424306053063,3.9341265905382197,3.5307462792979996,3.5799276302659724,4.118047880463671,4.597822896109894,91.95645792219787,0
남,40대,대졸,2,2,0,2,False,True,False,4.1580306948818,3.207281108401342,4.919614511184435,4.74621387509728,3.6296569698877557,4.4942150770406775,89.88430154081355,0
남,50대,고졸,0,3,0,5,True,False,True,4.553201821768829,5.0,4.1406369742707545,3.705043062864436,4.425760003352568,3.943945076430133,78.87890152860267,0
남,60대,고졸,0,3,0,5,True,False,True,4.430334383689647,4.907329911280618,4.743689776266244,4.6262870649661005,4.840239287477727,5.0,100.0,0
