성별,연령대,학력,초기 실천수,초기 건강위험요인 수,건강행태 실천수(단위:개),건강위험요인 수(단위:개),3개월차 실천 증가자,3개월차 실천 개선자,3개월차 위험요인 감소자,전반적 만족도,습관개선 도움정도,내용 이해도,관심도,타인 권유,총점,백분위 환산,churn
여,50대,대졸,3,2,3,4,False,False,True,3.928918760353304,4.787517695325267,3.447642508281101,4.430602177351318,4.233262642223542,5.0,100.0,0
여,30대,고졸,2,1,2,2,False,True,True,5.0,5.0,3.773320348899107,4.331082768976942,4.068253409315994,4.767161967578007,95.34323935156014,0
여,40대,대학원,1,2,1,2,False,True,False,4.466563902758085,4.11507593898074,3.7728189012855933,4.1238003815881985,5.0,3.579434459717051,71.58868919434103,0
여,20대,대졸,3,1,3,2,False,True,True,4.077973735589409,4.097754263058577,4.688668598326945,4.564420287187943,2.914191409012928,4.072697284347457,81.45394568694914,0
남,20대,대학원,2,2,0,2,True,True,False,4.991099875693617,3.422714207920756,4.347738184358739,4.720218156600061,4.899743727185707,4.832424357611677,96.64848715223353,0
여,60대,대졸,4,1,4,1,False,False,False,4.3520339953513245,3.6466542564296223,3.353873037785715,4.334318202316517,3.123310717938055,4.314499608991394,86.28999217982788,0
남,40대,대학원,4,2,4,2,False,False,False,4.468292877218924,3.9181728943192025,2.367454741881336,4.390972204228479,3.6960902897950483,4.754424488447383,95.08848976894765,0
여,40대,대졸,2,2,2,2,False,True,False,4.7728488916238625,5.0,4.077793192425424,4.325193874916899,5.0,2.8710035307644777,57.42007061528955,1
여,30대,대졸,1,4,1,4,False,True,False,3.8544974227829267,3.8906006588338506,2.9669177833472293,4.384175782201313,3.809186817772574,3.6405283334535308,72.81056666907062,0
남,50대,고졸,2,1,1,4,True,False,True,4.454140646777643,2.860189934142136,4.326331557156114,3.977020618671972,4.128511745168058,5.0,100.0,0
여,50대,대졸,1,3,1,3,False,False,False,4.233973653041422,4.2707016704587595,3.6073081188531364,5.0,3.939027603613018,4.2910527009225845,85.82105401845169,0
여,20대,대졸,1,0,1,0,False,True,False,4.16944731934658,4.813159211053097,2.8228659656325648,4.165146197988345,3.375099336614645,3.0591737508700048,61.18347501740009,1
여,50대,대학원,2,2,2,2,False,False,False,4.361132980711911,4.484127598072999,4.081803972927261,4.18797328960317,3.393256960640763,4.3699650060211646,87.39930012042329,0
여,30대,고졸,1,4,1,5,False,True,True,4.732517231615124,4.869191827065774,4.870401500006919,4.203220530276046,3.6507149160354504,4.16697968723819,83.3395937447638,0
남,60대,고졸,2,2,1,3,True,False,True,3.3511246553738774,4.595102621567554,4.529122491980679,4.206777207304686,4.483963805755488,4.5505663869783275,91.01132773956655,0
남,40대,대졸,3,1,2,2,True,True,True,3.4691550713700217,4.007820800217561,4.33994909071569,4.300459468588077,3.8105991415081695,4.241666431537928,84.83332863075856,0
남,40대,대졸,1,1,0,2,True,True,True,3.2644987510572587,3.546531813038625,3.4074402683395544,3.204565822887765,4.999608968690819,4.14494501362024,82.8989002724048,0
여,20대,대학원,2,2,2,2,False,True,False,3.660678433197654,3.525472557669561,3.8945768771849445,3.951176664016872,4.541525155136647,4.3191342744834005,86.382685489668,0
여,50대,대졸,3,2,3,2,False,False,False,5.0,4.053170121972682,3.6503029611330975,5.0,3.4552564983069805,4.256682289172765,85.13364578345531,0
여,40대,대졸,1,3,1,4,False,True,True,4.2237926178376775,4.617775528120767,3.554410723081958,3.448552057793719,4.612362280295477,4.5054074758545815,90.10814951709163,0
여,40대,고졸,0,3,0,4,False,False,True,4.725755824533951,4.609248557589842,4.257940343744623,4.167245047816844,3.74806230431913,4.100819751823777,82.01639503647554,0
여,50대,대졸,2,1,2,3,False,False,True,4.608241172334629,4.537281206524779,3.1199826341418335,4.33185635174574,5.0,5.0,100.0,0
남,30대,대졸,3,0,3,1,False,True,True,4.5645666877205535,4.050361489922789,4.772804290255104,3.766882225874908,3.9328786458712974,3.801987871779625,76.0397574355925,0
여,50대,고졸,1,3,1,4,False,False,True,4.236774001698158,5.0,4.749568938001071,3.7458404288210776,4.861956564426427,4.40577648219,88.1155296438,0
남,40대,고졸,2,4,0,5,True,False,True,4.417899266809677,3.559902240919986,4.723192374228279,4.445148416509267,4.876262352304565,3.3644696879410048,67.2893937588201,0
여,50대,고졸,0,2,0,3,False,False,True,3.662051661388852,4.953568957095432,3.2113618478109007,3.023319471765592,5.0,4.17621889409618,83.5243778819236,0
남,50대,대졸,3,3,2,5,True,False,True,3.8834061713146606,2.875859301342072,5.0,5.0,5.0,3.175891761840446,63.51783523680892,1
여,40대,대졸,2,4,2,5,False,True,True,4.714165767644446,4.56104878868833,4.058499259443248,3.7738563083971335,4.616527838052708,3.861496606213133,77.22993212426266,0
여,30대,고졸,1,5,1,5,False,True,True,5.0,5.0,4.39487392137091,3.913428880282209,4.558591975012859,4.594904195394701,91.89808390789402,0
남,20대,고졸,0,1,0,3,True,True,True,5.0,3.9294703225645016,3.0179034496804134,3.4050983270810162,4.986844185844039,4.056424256793815,81.1284851358763,0
남,50대,고졸,1,2,0,3,True,False,True,4.1239488173144085,3.840566319620197,3.8684474514388314,4.247067675995895,5.0,3.6119351730278035,72.23870346055608,0
여,40대,대졸,2,1,2,1,False,False,False,3.810894760274216,3.2888451719107206,4.480543716107855,5.0,4.843894521410518,5.0,100.0,0
남,50대,대학원,2,5,2,5,False,False,False,3.841093103345239,2.904910567750023,4.2200563795594235,4.488367925303994,4.065698267619869,3.7234209011484007,74.46841802296802,0
